Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0005.001,https://quod.lib.umich.edu/m/moa/ACF5938.0005.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0005.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0006.001,https://quod.lib.umich.edu/m/moa/ACF5938.0006.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0006.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0007.001,https://quod.lib.umich.edu/m/moa/ACF5938.0007.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0007.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0009.001,https://quod.lib.umich.edu/m/moa/ACF5938.0009.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0009.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0010.001,https://quod.lib.umich.edu/m/moa/ACF5938.0010.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0010.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0011.001,https://quod.lib.umich.edu/m/moa/ACF5938.0011.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0011.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0012.001,https://quod.lib.umich.edu/m/moa/ACF5938.0012.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0012.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0013.001,https://quod.lib.umich.edu/m/moa/ACF5938.0013.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0013.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0014.001,https://quod.lib.umich.edu/m/moa/ACF5938.0014.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0014.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0015.001,https://quod.lib.umich.edu/m/moa/ACF5938.0015.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0015.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0016.001,https://quod.lib.umich.edu/m/moa/ACF5938.0016.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0016.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0017.001,https://quod.lib.umich.edu/m/moa/ACF5938.0017.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0017.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0018.001,https://quod.lib.umich.edu/m/moa/ACF5938.0018.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0018.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
