confirm?,hathi trust link,link,catalog search links,mms_id,dlxs_id,author,title,pub_date,pub_place,language
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1880.001,https://quod.lib.umich.edu/m/moa/AAF1187.1880.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1880.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1882.001,https://quod.lib.umich.edu/m/moa/AAF1187.1882.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1882.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1883.001,https://quod.lib.umich.edu/m/moa/AAF1187.1883.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1883.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1884.001,https://quod.lib.umich.edu/m/moa/AAF1187.1884.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1884.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1885.001,https://quod.lib.umich.edu/m/moa/AAF1187.1885.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1885.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1886.001,https://quod.lib.umich.edu/m/moa/AAF1187.1886.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1886.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1887.001,https://quod.lib.umich.edu/m/moa/AAF1187.1887.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1887.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1888.001,https://quod.lib.umich.edu/m/moa/AAF1187.1888.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1888.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1889.001,https://quod.lib.umich.edu/m/moa/AAF1187.1889.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1889.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1890.001,https://quod.lib.umich.edu/m/moa/AAF1187.1890.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1890.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1891.001,https://quod.lib.umich.edu/m/moa/AAF1187.1891.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1891.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1892.001,https://quod.lib.umich.edu/m/moa/AAF1187.1892.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1892.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1893.001,https://quod.lib.umich.edu/m/moa/AAF1187.1893.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1893.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1894.001,https://quod.lib.umich.edu/m/moa/AAF1187.1894.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1894.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1896.001,https://quod.lib.umich.edu/m/moa/AAF1187.1896.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1896.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1897.001,https://quod.lib.umich.edu/m/moa/AAF1187.1897.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1897.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1898.001,https://quod.lib.umich.edu/m/moa/AAF1187.1898.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1898.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1899.001,https://quod.lib.umich.edu/m/moa/AAF1187.1899.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1899.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1900.001,https://quod.lib.umich.edu/m/moa/AAF1187.1900.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1900.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1901.001,https://quod.lib.umich.edu/m/moa/AAF1187.1901.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1901.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1902.001,https://quod.lib.umich.edu/m/moa/AAF1187.1902.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1902.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1903.001,https://quod.lib.umich.edu/m/moa/AAF1187.1903.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1903.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1904.001,https://quod.lib.umich.edu/m/moa/AAF1187.1904.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1904.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1905.001,https://quod.lib.umich.edu/m/moa/AAF1187.1905.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1905.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1906.001,https://quod.lib.umich.edu/m/moa/AAF1187.1906.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1906.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1907.001,https://quod.lib.umich.edu/m/moa/AAF1187.1907.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1907.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1908.001,https://quod.lib.umich.edu/m/moa/AAF1187.1908.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1908.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1909.001,https://quod.lib.umich.edu/m/moa/AAF1187.1909.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1909.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1910.001,https://quod.lib.umich.edu/m/moa/AAF1187.1910.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1910.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1911.001,https://quod.lib.umich.edu/m/moa/AAF1187.1911.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1911.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1912.001,https://quod.lib.umich.edu/m/moa/AAF1187.1912.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1912.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1913.001,https://quod.lib.umich.edu/m/moa/AAF1187.1913.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1913.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1914.001,https://quod.lib.umich.edu/m/moa/AAF1187.1914.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1914.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1916.001,https://quod.lib.umich.edu/m/moa/AAF1187.1916.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1916.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1917.001,https://quod.lib.umich.edu/m/moa/AAF1187.1917.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1917.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1918.001,https://quod.lib.umich.edu/m/moa/AAF1187.1918.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1918.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1919.001,https://quod.lib.umich.edu/m/moa/AAF1187.1919.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1919.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1920.001,https://quod.lib.umich.edu/m/moa/AAF1187.1920.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1920.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1921.001,https://quod.lib.umich.edu/m/moa/AAF1187.1921.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1921.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1923.001,https://quod.lib.umich.edu/m/moa/AAF1187.1923.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1923.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1924.001,https://quod.lib.umich.edu/m/moa/AAF1187.1924.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1924.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1925.001,https://quod.lib.umich.edu/m/moa/AAF1187.1925.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1925.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1926.001,https://quod.lib.umich.edu/m/moa/AAF1187.1926.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1926.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1927.001,https://quod.lib.umich.edu/m/moa/AAF1187.1927.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1927.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.indx.001,https://quod.lib.umich.edu/m/moa/AAF1187.INDX.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.INDX.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf7919.0001.001,https://quod.lib.umich.edu/m/moa/AAF7919.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Annual%20report%20of%20the%20Secretary%20of%20the%20State%20Board%20of%20Agriculture%20...%20and%20...%20Annual%20report%20of%20the%20Experimental%20station%20...,990000554410106381,AAF7919.0001.001,Michigan. State Department of Agriculture.,Annual report of the Secretary of the State Board of Agriculture ... and ... Annual report of the Experimental station ...,,"Lansing, Mich.",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf7919.0002.001,https://quod.lib.umich.edu/m/moa/AAF7919.0002.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Annual%20report%20of%20the%20Secretary%20of%20the%20State%20Board%20of%20Agriculture%20...%20and%20...%20Annual%20report%20of%20the%20Experimental%20station%20...,990000554410106381,AAF7919.0002.001,Michigan. State Department of Agriculture.,Annual report of the Secretary of the State Board of Agriculture ... and ... Annual report of the Experimental station ...,,"Lansing, Mich.",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf7919.0003.001,https://quod.lib.umich.edu/m/moa/AAF7919.0003.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Annual%20report%20of%20the%20Secretary%20of%20the%20State%20Board%20of%20Agriculture%20...%20and%20...%20Annual%20report%20of%20the%20Experimental%20station%20...,990000554410106381,AAF7919.0003.001,Michigan. State Department of Agriculture.,Annual report of the Secretary of the State Board of Agriculture ... and ... Annual report of the Experimental station ...,,"Lansing, Mich.",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf7919.0004.001,https://quod.lib.umich.edu/m/moa/AAF7919.0004.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Annual%20report%20of%20the%20Secretary%20of%20the%20State%20Board%20of%20Agriculture%20...%20and%20...%20Annual%20report%20of%20the%20Experimental%20station%20...,990000554410106381,AAF7919.0004.001,Michigan. State Department of Agriculture.,Annual report of the Secretary of the State Board of Agriculture ... and ... Annual report of the Experimental station ...,,"Lansing, Mich.",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf7919.0005.001,https://quod.lib.umich.edu/m/moa/AAF7919.0005.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Annual%20report%20of%20the%20Secretary%20of%20the%20State%20Board%20of%20Agriculture%20...%20and%20...%20Annual%20report%20of%20the%20Experimental%20station%20...,990000554410106381,AAF7919.0005.001,Michigan. State Department of Agriculture.,Annual report of the Secretary of the State Board of Agriculture ... and ... Annual report of the Experimental station ...,,"Lansing, Mich.",eng
